icij_sar_id,filer_org_name_id,filer_org_name,entity_b_id,entity_b,entity_b_country,entity_b_iso_code
3575,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,scsb-savings-department-branch-taipei-taiwan-twn,SCSB Savings Department Branch,Taiwan,TWN
3551,deutsche-bank-ag,Deutsche Bank AG,deutsche-bank-ag-united-kingdom-gbr,Deutsche Bank AG,United Kingdom,GBR
2986,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,commercial-bank-of-dubai-psc-dubai-united-arab-emirates-are,"Commercial Bank of Dubai, P.S.C. ",United Arab Emirates,ARE
2986,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,wing-lung-bank-ltd-hong-kong-hkg,"Wing Lung Bank, Ltd",Hong Kong,HKG
2986,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,pt-bank-mandiri-perseo-tbk-jakarta-indonesia-idn,PT Bank Mandiri,Indonesia,IDN
2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,skandinaviska-enskilda-banken-helsinki-finland-fin,Skandinaviska Enskilda Banken,Finland,FIN
2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,international-invest-bank-kiev-ukraine-ukr,International Invest Bank,Ukraine,UKR
2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,dbs-bank-ltd-singapore-singapore-sgp,"DBS Bank Ltd, Singapore",Singapore,SGP
2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,unicredit-bank-austria-ag-vienna-austria-aut,UniCredit Bank Austria AG,Austria,AUT
2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,petrocommerce-ojsc-bank-moscow-russia-rus,Petrocommerce OJSC Bank,Russia,RUS
2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,alfabank-moscow-russia-rus,Alfabank,Russia,RUS
2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,national-settlement-depository-moscow-russia-rus,National Settlement Depository,Russia,RUS
3789,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,united-overseas-bank-limited-singapore-sgp,United Overseas Bank Limited,Singapore,SGP
3789,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,ctbc-bank-co-ltd-hong-kong-hkg,CTBC Bank Co Ltd,Hong Kong,HKG
3789,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd,Singapore,SGP
3789,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,bank-of-baroda-mumbai-india-ind,Bank of Baroda,India,IND
4037,barclays-plc,Barclays Plc,barclays-bank-suisse-sa-che,Barclays Bank,Switzerland,CHE
3934,deutsche-bank-ag,Deutsche Bank AG,bank-of-communications-china-chn,Bank of Communications,China,CHN
4054,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,alior-bank-sa-warsaw-poland-pol,Alior Bank S.A.,Poland,POL
4054,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE
4054,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,bank-zachodni-wbk-sa-poznan-poland-pol,Bank Zachodni Wbk SA,Poland,POL
4054,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,ceskoslovenska-obchodni-banka-as-prague-czech-republic-cze,Ceskoslovenska Obchodni Banka A.S. ,Czech Republic,CZE
4054,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,credit-suisse-singapore-branch-singapore-sgp,"Credit Suisse, Singapore Branch",Singapore,SGP
4054,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,lloyds-bank-plc-birmingham-england-gbr,Lloyds Bank Plc,United Kingdom,GBR
3763,deutsche-bank-ag,Deutsche Bank AG,fidelity-bank-plc-domicilliary-account-nigeria-nga,Fidelity Bank Plc Domicilliary Account,Nigeria,NGA
4229,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,kazkommertsbank-almaty-kazakhstan-kaz,Kazkommertsbank,Kazakhstan,KAZ
4229,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,ceska-sportelna-as-prague-czech-republic-cze,Ceska Sportelna A.S.,Czech Republic,CZE
4229,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,united-overseas-bank-limited-singapore-sgp,United Overseas Bank Limited,Singapore,SGP
4229,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,sberbank-of-russia-moscow-russia-rus,Sberbank of Russia,Russia,RUS
